PAP Ref, LAND RATE (PER ACRE) 
IK0683," 25,000,000 "
IK0684," 25,000,000 "
IK0685," 25,000,000 "
IK0686," 25,000,000 "
IK0687," 25,000,000 "
IK0688," 25,000,000 "
IK0689," 25,000,000 "
IK0690," 25,000,000 "
IK0691," 25,000,000 "
IK0692," 25,000,000 "
IK0693," 25,000,000 "
IK0694," 25,000,000 "
IK0695," 25,000,000 "
IK0696," 25,000,000 "
IK0697," 25,000,000 "
IK0698," 25,000,000 "
IK0699," 25,000,000 "
IK0700," 25,000,000 "
IK0701," 25,000,000 "
IK0702," 25,000,000 "
IK0703," 25,000,000 "
IK0704," 25,000,000 "
IK0705," 25,000,000 "
IK0706," 25,000,000 "
IK0707," 25,000,000 "
IK0708," 25,000,000 "
IK0709," 25,000,000 "
IK0710," 25,000,000 "
IK0711," 25,000,000 "
IK0712," 25,000,000 "
IK0713," 25,000,000 "
IK0714," 25,000,000 "
IK0714-1," 25,000,000 "
IK0714-2," 25,000,000 "
IK0714-3," 25,000,000 "
IK0714-4," 25,000,000 "
IK0714-5," 25,000,000 "
IK0714-6," 25,000,000 "
IK0714-7," 25,000,000 "
IK0714-9," 25,000,000 "
IK0714-10," 25,000,000 "
IK0714-11," 25,000,000 "
IK0714-12," 25,000,000 "
IK0715," 25,000,000 "
IK0716," 25,000,000 "
IK0716-1," 25,000,000 "
IK0716-2," 25,000,000 "
IK0716-3," 25,000,000 "
IK0716-4," 25,000,000 "
IK0716-5," 25,000,000 "
IK0716-6," 25,000,000 "
IK0717," 25,000,000 "
IK0718," 25,000,000 "
IK0719," 25,000,000 "
IK0720," 25,000,000 "
IK0721," 25,000,000 "
IK0722," 25,000,000 "
IK0723," 25,000,000 "
IK0724," 25,000,000 "
IK0725," 25,000,000 "
IK0726," 25,000,000 "
IK0727," 25,000,000 "
IK0728," 25,000,000 "
IK0729," 25,000,000 "
IK0730," 25,000,000 "
IK0731," 25,000,000 "
IK0732," 25,000,000 "
IK0733," 25,000,000 "
IK0734," 25,000,000 "
IK0735," 25,000,000 "
IK0736," 25,000,000 "
IK0737," 25,000,000 "
IK0738," 25,000,000 "
IK0739," 25,000,000 "
IK0740," 25,000,000 "
IK0741," 25,000,000 "
IK0742," 25,000,000 "
IK0743," 25,000,000 "
IK0744," 25,000,000 "
IK0745," 25,000,000 "
IK0746," 25,000,000 "
IK0747," 25,000,000 "
IK0748," 25,000,000 "
IK0749," 25,000,000 "
IK0750," 25,000,000 "
IK0751," 25,000,000 "
IK0752," 25,000,000 "
IK0753," 25,000,000 "
IK0754," 25,000,000 "
IK0755," 25,000,000 "
IK0756," 25,000,000 "
IK0757," 25,000,000 "
IK0758," 25,000,000 "
IK0759," 25,000,000 "
IK0760," 25,000,000 "
IK0761," 25,000,000 "
IK0762," 25,000,000 "
IK0763," 25,000,000 "
IK0764," 25,000,000 "
IK0765," 25,000,000 "
IK0766," 25,000,000 "
IK0767," 25,000,000 "
IK0768," 25,000,000 "
IK0769," 25,000,000 "
IK0770," 25,000,000 "
IK0771," 25,000,000 "
IK0772," 25,000,000 "
IK0773," 25,000,000 "
IK0774," 25,000,000 "
IK0775," 25,000,000 "
IK0776," 25,000,000 "
IK0777," 25,000,000 "
IK0777-1," 25,000,000 "
IK0778," 25,000,000 "
IK0779," 25,000,000 "
IK0780," 25,000,000 "
IK0781," 25,000,000 "
IK0782," 25,000,000 "
IK0783," 25,000,000 "
IK0784," 25,000,000 "
IK0785," 25,000,000 "
IK0786," 25,000,000 "
IK0787," 25,000,000 "
IK0788," 25,000,000 "
IK0789," 25,000,000 "
IK0790," 25,000,000 "
IK0791," 25,000,000 "
IK0792," 25,000,000 "
IK0793," 25,000,000 "
IK0794," 25,000,000 "
IK0795," 25,000,000 "
IK0796," 25,000,000 "
IK0797," 25,000,000 "
IK0798," 25,000,000 "
IK0799," 25,000,000 "
IK0800," 25,000,000 "
IK0801," 25,000,000 "
IK0802," 25,000,000 "
IK0803," 25,000,000 "
IK0804," 25,000,000 "
IK0805," 25,000,000 "
IK0806," 25,000,000 "
IK0807," 25,000,000 "
IK0808," 25,000,000 "
IK0809," 25,000,000 "
IK0810," 25,000,000 "
IK0811," 25,000,000 "
IK0812," 25,000,000 "
IK0813," 25,000,000 "
IK0814," 25,000,000 "
IK0815," 25,000,000 "
IK0816," 25,000,000 "
IK0817," 25,000,000 "
IK0818," 25,000,000 "
IK0819," 25,000,000 "
IK0820," 25,000,000 "
IK0821," 25,000,000 "
IK0822," 25,000,000 "
IK0823," 25,000,000 "
IK0824," 25,000,000 "
IK0825," 25,000,000 "
IK0826," 25,000,000 "
IK0827," 25,000,000 "
IK0828," 25,000,000 "
IK0829," 25,000,000 "
IK0830," 25,000,000 "
IK0831," 25,000,000 "
IK0832," 25,000,000 "
IK0833," 25,000,000 "
IK0834," 25,000,000 "
IK0835," 25,000,000 "
IK0836," 25,000,000 "
IK0837," 25,000,000 "
IK0838," 25,000,000 "
IK0839," 25,000,000 "
IK0840," 25,000,000 "
IK0841," 25,000,000 "
IK0842," 25,000,000 "
IK0843," 25,000,000 "
IK0844," 25,000,000 "
IK0845," 25,000,000 "
IK0846," 25,000,000 "
IK0847," 25,000,000 "
IK0848," 25,000,000 "
IK0849," 25,000,000 "
IK0850," 25,000,000 "
IK0851," 25,000,000 "
IK0852," 25,000,000 "
IK0853," 25,000,000 "
IK0854," 25,000,000 "
IK0855," 25,000,000 "
IK0856," 25,000,000 "
IK0857," 25,000,000 "
IK0858," 25,000,000 "
IK0859," 25,000,000 "
IK0860," 25,000,000 "
IK0861," 25,000,000 "
IK0862," 25,000,000 "
IK0863," 25,000,000 "
IK0864," 25,000,000 "
IK0865," 25,000,000 "
IK0866," 25,000,000 "
IK0867," 25,000,000 "
IK0876," 25,000,000 "
IK0877," 25,000,000 "
IK0878," 25,000,000 "
IK0879," 25,000,000 "
IK0880," 25,000,000 "
IK0881," 25,000,000 "
IK0882," 25,000,000 "
IK0883," 25,000,000 "
IK0884," 7,000,000 "
IK0885," 7,000,000 "
IK0886," 7,000,000 "
IK0887," 7,000,000 "
IK0888," 7,000,000 "
IK0889," 7,000,000 "
IK0890," 7,000,000 "
IK0891," 7,000,000 "
IK0892," 7,000,000 "
IK0893," 7,000,000 "
IK0894," 7,000,000 "
IK0895," 7,000,000 "
IK0896," 7,000,000 "
IK0897," 7,000,000 "
IK0898," 7,000,000 "
IK0899," 7,000,000 "
IK0900," 7,000,000 "
IK0901," 7,000,000 "
IK0902," 7,000,000 "
IK0903," 7,000,000 "
IK0904," 7,000,000 "
IK0905," 7,000,000 "
IK0906," 7,000,000 "
IK0907," 7,000,000 "
IK0908," 7,000,000 "
IK0909," 7,000,000 "
IK0910," 7,000,000 "
IK0911," 7,000,000 "
IK0912," 7,000,000 "
IK0913," 7,000,000 "
IK0914," 7,000,000 "
IK0915," 7,000,000 "
IK0916," 7,000,000 "
IK0917," 7,000,000 "
IK0918," 7,000,000 "
IK0919," 7,000,000 "
IK0920," 7,000,000 "
IK0921," 7,000,000 "
IK0922," 7,000,000 "
IK0923," 7,000,000 "
IK0924," 7,000,000 "
IK0925," 7,000,000 "
IK0926," 7,000,000 "
IK0927," 7,000,000 "
IK0928," 7,000,000 "
IK0929," 7,000,000 "
IK0930," 15,000,000 "
IK0931," 15,000,000 "
IK0932," 15,000,000 "
IK0933," 15,000,000 "
IK0934," 15,000,000 "
IK0935," 15,000,000 "
IK0936," 15,000,000 "
IK0937," 15,000,000 "
IK0938," 15,000,000 "
IK0939," 15,000,000 "
IK0940," 15,000,000 "
IK0941," 15,000,000 "
IK0942," 15,000,000 "
IK0943," 15,000,000 "
IK0944," 15,000,000 "
IK0945," 15,000,000 "
IK0946," 15,000,000 "
IK0947," 15,000,000 "
IK0948," 15,000,000 "
IK0949," 15,000,000 "
IK0950," 15,000,000 "
IK0951," 15,000,000 "
IK0951-1," 15,000,000 "
IK0952," 15,000,000 "
IK0953," 15,000,000 "
IK0954," 15,000,000 "
IK0955," 15,000,000 "
IK0956," 15,000,000 "
IK0957," 15,000,000 "
IK0958," 15,000,000 "
IK0959," 15,000,000 "
IK0960," 15,000,000 "
IK0961," 15,000,000 "
IK0962," 15,000,000 "
IK0963," 15,000,000 "
IK0964," 15,000,000 "
IK0965," 15,000,000 "
IK0966," 15,000,000 "
IK0967," 15,000,000 "
IK0968," 15,000,000 "
IK0969," 15,000,000 "
IK0970," 15,000,000 "
IK0971," 15,000,000 "
IK0973," 15,000,000 "
IK0974," 15,000,000 "
IK0975," 15,000,000 "
IK0976," 15,000,000 "
IK0977," 15,000,000 "
IK0978," 15,000,000 "
IK0979," 15,000,000 "
IK0980," 15,000,000 "
IK0981," 15,000,000 "
IK0982," 15,000,000 "
IK0983," 15,000,000 "
IK0984," 15,000,000 "
