PAP ID,PAP Refs ,X Coord,Y Coord
15783,BUN0407,172813.263,74767.107
15784,BUN0408,172856.196,74781.573
15786,BUN0409,172883.210,74785.431
15785,BUN0410,172880.798,74791.217
15787,BUN0411,172904.435,74794.110
15788,BUN0412,172933.861,74801.825
15789,BUN0413,172966.181,74811.951
15790,BUN0414,173033.245,74831.056
15791,BUN0415,173086.201,74844.697
15792,BUN0416,173094.467,74847.613
15793,BUN0417,173125.098,74856.361
15795,BUN0418,173179.067,74872.399
15794,BUN0419,173205.191,74880.143
15797,BUN0420,173232.731,74885.955
15838,BUN0421,173246.502,74913.789
15843,BUN0422,173278.300,74968.860
15840,BUN0423,173385.026,75155.161
15844,BUN0424,173371.588,75284.650
15853,BUN0425,173364.894,75348.201
15855,BUN0426,173359.663,75403.047
15857,BUN0427,173353.992,75454.370
15860,BUN0428,173352.089,75467.680
15861,BUN0429,173350.504,75486.695
15863,BUN0430,173353.992,75509.195
15865,BUN0431,173367.442,75549.433
15867,BUN0432,173372.040,75563.222
15869,BUN0433,173383.006,75599.758
15916,BUN0434,173380.995,75653.232
15917,BUN0435,173380.217,75681.030
15923,BUN0436,173378.926,75708.771
15870,BUN0437,173371.760,75887.198
15871,BUN0438,173348.796,75917.979
15873,BUN0439,173254.619,76045.458
15883,BUN0440,173246.011,76064.321
15878,BUN0441,173228.795,76094.437
15882,BUN0442,173200.984,76146.396
15884,BUN0443,173193.814,76187.295
15849,BUN0444,173187.587,76492.589
15851,BUN0445,173095.384,76635.377
15887,BUN0446,173041.881,76825.592
15888,BUN0447,173045.957,76874.484
15890,BUN0448,173049.014,76919.302
15894,BUN0449,173053.677,76943.343
15895,BUN0450,173053.335,76962.165
15898,BUN0451,173056.416,77001.862
15900,BUN0452,173061.090,77059.068
15907,BUN0453,173065.559,77112.320
15935,BUN0454,173067.296,77142.425
15929,BUN0455,173070.287,77168.822
15937,BUN0456,173072.238,77197.636
15942,BUN0457,173075.723,77244.552
15947,BUN0458,173081.838,77314.008
15950,BUN0459,173058.112,77397.358
15954,BUN0460,173040.936,77443.260
15958,BUN0461,173038.131,77455.173
15959,BUN0462,173028.316,77481.804
15962,BUN0463,173021.305,77498.272
15964,BUN0464,173014.645,77518.245
15968,BUN0465,173003.094,77547.179
15976,BUN0466,172993.512,77575.911
16140,BUN0467,172983.931,77597.882
16139,BUN0468,172956.309,77692.453
16134,BUN0469,172935.204,77794.659
16132,BUN0470,172937.449,77816.881
16128,BUN0471,172939.695,77836.410
16126,BUN0472,172942.068,77852.098
16123,BUN0473,172944.098,77870.126
16120,BUN0474,172949.029,77917.269
16112,BUN0475,172960.573,77962.518
16118,BUN0476,172968.309,77991.569
16115,BUN0477,172974.483,78017.345
16113,BUN0478,172978.478,78035.134
16110,BUN0479,172993.780,78095.337
16109,BUN0480,172754.655,79099.886
16106,BUN0481,172723.969,79126.326
16104,BUN0482,172689.403,79156.643
16102,BUN0483,172587.085,79245.979
16099,BUN0484,172546.135,79281.694
16097,BUN0485,172510.219,79314.002
16096,BUN0486,172491.902,79328.361
16094,BUN0487,172479.332,79340.207
16093,BUN0488,172463.170,79353.130
16092,BUN0489,172427.052,79387.012
16087,BUN0490,172354.374,79560.770
16085,BUN0491,172314.973,79654.034
16083,BUN0492,172223.664,79702.059
16081,BUN0493,172182.016,79723.713
16079,BUN0494,172160.668,79734.619
16078,BUN0495,172145.488,79775.158
16077,BUN0496,172132.384,79812.986
