IK0394,34.2000,0.0085
IK0395,15.0800,0.0037
IK0396,18.3000,0.0045
IK0397,15.2500,0.0038
IK0398,31.0400,0.0077
IK0399,13.4200,0.0033
IK0400,17.1000,0.0042
IK0401,50.1600,0.0124
IK0402,16.7600,0.0041
IK0403,27.2800,0.0067
IK0404,18.6600,0.0046
IK0405,13.6700,0.0034
IK0406,10.0600,0.0025
IK0407,19.3800,0.0048
IK0408,20.9500,0.0052
IK0409,18.0000,0.0044
IK0410,21.2300,0.0052
IK0411,28.0900,0.0069
IK0412,33.8900,0.0084
IK0413,33.7400,0.0083
IK0414,35.9900,0.0089
IK0415,29.7400,0.0073
IK0416,30.5000,0.0075
IK0417,38.1400,0.0094
IK0418,31.8900,0.0079
IK0419,23.3500,0.0058
IK0420,6.2900,0.0016
IK0421,20.9600,0.0052
IK0422,173.6900,0.0429
IK0423,37.3100,0.0092
IK0424,20.9300,0.0052
IK0425,37.6300,0.0093
IK0426,17.8300,0.0044
IK0427,16.7300,0.0041
IK0428,25.5600,0.0063
IK0429,61.1400,0.0151
IK0430,37.3400,0.0092
IK0431,28.6200,0.0071
IK0432,17.5600,0.0043
IK0433,20.2800,0.0050
IK0434,15.4200,0.0038
IK0435,10.2200,0.0025
IK0436,16.6700,0.0041
IK0437,16.3700,0.0040
IK0438,38.2300,0.0094
IK0439,59.7800,0.0148
IK0440,48.8800,0.0121
IK0441,37.0300,0.0092
IK0442,24.6500,0.0061
IK0443,185.4400,0.0458
IK0444,145.8700,0.0360
IK0445,83.1500,0.0205
IK0446,100.4300,0.0248
IK0447,27.4900,0.0068
IK0448,28.0700,0.0069
IK0449,26.9800,0.0067
IK0450,32.3000,0.0080
IK0451,28.8700,0.0071
IK0452,21.0400,0.0052
IK0453,16.7500,0.0041
IK0454,10.9800,0.0027
IK0455,16.3500,0.0040
IK0456,17.9000,0.0044
IK0457,31.7900,0.0079
IK0458,202.3900,0.0500
IK0459,40.3300,0.0100
IK0460,100.7100,0.0249
IK0461,29.4100,0.0073
IK0462,368.5200,0.0911
IK0463,28.7200,0.0071
IK0464,53.5200,0.0132
IK0465,11.0500,0.0027
IK0466,16.0600,0.0040
IK0467,39.1800,0.0097
IK0468,41.2100,0.0102
IK0469,117.7100,0.0291
IK0470,27.9600,0.0069
IK0471,14.4300,0.0036
IK0472,13.4500,0.0033
IK0473,36.1600,0.0089
IK0474,43.9600,0.0109
IK0475,146.1600,0.0361
IK0476,128.1400,0.0317
IK0477,58.2900,0.0144
IK0478,39.4200,0.0097
IK0479,21.6900,0.0054
IK0480,20.9400,0.0052
IK0481,65.5000,0.0162
IK0482,15.3500,0.0038
IK0483,39.7400,0.0098
IK0484,39.6700,0.0098
IK0485,25.0500,0.0062
IK0486,,0.0000
IK0487,34.1500,0.0084
IK0488,17.7600,0.0044
IK0489,31.4400,0.0078
IK0490,49.6400,0.0123
IK0491,120.7700,0.0298
IK0492,15.6100,0.0039
IK0493,5.9500,0.0015
IK0494,,0.0000
IK0495,28.6800,0.0071
IK0496,7.9700,0.0020
IK0497,72.5800,0.0179
IK0498,5.9000,0.0015
IK0499,24.3100,0.0060
IK0500,20.9600,0.0052
IK0501,28.6100,0.0071
IK0502,29.3900,0.0073
IK0503,10.4800,0.0026
IK0504,9.8400,0.0024
IK0505,31.4200,0.0078
IK0506,47.5900,0.0118
IK0507,17.5800,0.0043
IK0508,13.9500,0.0034
IK0509,10.0800,0.0025
IK0510,20.6400,0.0051
IK0511,28.6500,0.0071
IK0512,19.6700,0.0049
IK0513,21.7900,0.0054
IK0514,16.9600,0.0042
IK0515,27.6600,0.0068
