pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0319,0.0284,3000000,10,TENANT
NGE0320,0.1082,3000000,90,Customary
NGE0321,0.1082,3000000,10,TENANT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
NGE0322,0.2104,3000000,90,Customary
NGE0323,0.2104,3000000,10,TENANT
NGE0324,0.2806,3000000,100,Customary
NGE0325,0.6153,3000000,100,Customary
NGE0326,0.2888,3000000,100,Customary
NGE0327,0.2818,3000000,100,Customary
NGE0328,1.0798,3000000,100,Customary
NGE0329,0.0261,3000000,100,Customary
NGE0330,0.1218,3000000,100,Customary
NGE0331,0.0849,3000000,100,Customary
NGE0332,0.0851,3000000,100,Customary
NGE0333,0.2115,3000000,100,Customary
NGE0334,0.1217,3000000,100,Customary
NGE0335,0.2862,3000000,100,Customary
NGE0336,0.2483,3000000,100,Customary
NGE0337,0.8331,3000000,100,Customary
NGE0338,0.2077,3000000,100,Customary
NGE0339,0.0285,3000000,100,Customary
NGE0340,0.0643,3000000,100,Customary
NGE0341,0.0856,3000000,100,Customary
NGE0342,0.0336,3000000,100,Customary
NGE0343,0.0859,3000000,100,Customary
NGE0344,0.3414,3000000,100,Customary
NGE0345,0.122,3000000,100,Customary
NGE0346,0.1562,3000000,100,Customary
NGE0347,0.1285,3000000,100,Customary
NGE0348,0.2627,3000000,100,Customary
NGE0349,0.339,3000000,100,Customary
NGE0350,0.3205,3000000,100,Customary
NGE0351,0.2811,3000000,100,Customary
NGE0352,0.1719,3000000,100,Customary
NGE0353,0.1368,3000000,100,Customary
NGE0354,0.247,3000000,100,Customary
NGE0355,0.0547,1500000,100,Customary
NGE0356,0.4079,1500000,100,Customary
NGE0357,0.5228,1500000,100,Customary
NGE0358,0.1613,1500000,100,Customary
NGE0359,1.7943,1500000,100,Customary
NGE0360,1.4222,1500000,100,Customary
NGE0361,0.9616,1500000,100,Customary
NGE0362,1.0134,1500000,100,Customary
NGE0363,0.045,1500000,90,Customary
NGE0364,0.045,1500000,10,TENANT
NGE0365,0.3126,1500000,100,Customary
NGE0366,0.0519,1500000,100,Customary
NGE0367,0.1533,1500000,100,Customary
NGE0368,0.388,1500000,100,Customary
NGE0369,0.5922,1500000,100,Customary
NGE0370,0.6493,1500000,100,Customary
NGE0371,0.9226,1500000,100,Customary
NGE0372,0.247,1500000,100,Customary
NGE0373,0.9226,1500000,100,Customary
NGE0374,0.547,1500000,100,Customary
NGE0375,0.4155,1500000,100,Customary
NGE0376,0.0061,1500000,100,Customary
NGE0377,0.2659,1500000,100,Customary
NGE0378,0.2593,1500000,100,Customary
NGE0379,1.2135,1500000,100,Customary
NGE0380,0.4921,1500000,100,Customary
NGE0381,0.1348,1500000,100,Customary
NGE0382,0.0918,1500000,100,Customary
NGE0383,1.1122,1500000,100,Customary
NGE0384,0.6147,1500000,100,Customary
NGE0385,0.014,1500000,100,Customary
NGE0386,0.107,1500000,100,Customary
NGE0387,0.3384,1500000,100,Customary
NGE0388,0.4403,1500000,100,Customary
NGE0389,0.9827,1500000,100,Customary
NGE0390,0.0496,1500000,100,Customary
NGE0391,0.08,1500000,100,Customary
NGE0392,0.641,1500000,100,Customary
NGE0393,1.0255,1500000,100,Customary
NGE0394,0.3905,1500000,100,Customary
NGE0395,0.2013,1500000,100,Customary
NGE0396,1.2274,1500000,100,Customary
NGE0397,0.1703,1500000,100,Customary
NGE0398,0.5786,1500000,100,Customary
NGE0399,1.0284,1500000,100,Customary
NGE0400,0.8328,1500000,100,Customary
NGE0401,0.4431,1500000,100,Customary
